Impacto,Circuito,Servicio,Motivo,Solicita,Número de instalación,Municipio,Dirección,Nombre del responsable,Fecha y hora esperada,Inicio,Fin,Horas,Estado,Fecha de registro,Explicación,Barrio,Nombre del contratista ,Tipo de aviso
Medio,Paris,Agua,Mantenimiento,Unidad Operación Mantenimiento Provisión Aguas,4303,Bello,"Municipio de Bello: De CL 20F hasta CL 27 entre CR 77 y CR 83; De CL 20F hasta CL 20B entre CR 77 y CR 78.
Municipio de Medellín: De CL 107 hasta CL 97 entre CR 85 y CR 87",Jorge Humberto Marin Posada,01/15/2019 04:00:00 PM,01/15/2019 09:00:00 AM,01/15/2019 04:00:00 PM,7,ABIERTA,01/09/2019 0:00,"Instalaciones afectadas: 4303 | Motivo: Mantenimiento conducción | Rango Aproximado: Municipio de Bello: De CL 20F hasta CL 27 entre CR 77 y CR 83; De CL 20F hasta CL 20B entre CR 77 y CR 78.
Municipio de Medellín: De CL 107 hasta CL 97 entre CR 85 y CR 87 | Responsable: Carlos Mauricio Angel Montoya - 380 73 55 - Unidad Operación Mantenimiento Provisión Aguas                  | Solicitud HIDRO: N.A | Circuito: Paris | Observaciones: Retiro muestra tubería de la impulsión Doce de Octubre-París. Ejecutor: EPM. Tecnólogo: Reynaldo Torres, celular: 3004750574. (G.C=1).",EL TRIUNFO (SAN CRISTOBAL);PARIS;EL PROGRESO NO. 2;MIRADOR DEL DOCE;PICACHITO,EPM.,IVR
Alto,Niquia,Agua,Lavado de tanque,Unidad Operación Mantenimiento Provisión Aguas,7758,Bello,De AV 40 hasta AV 30 entre DG 49A y DG 61; De DG 50 hasta DG 52 entre AV 30 y AV 20; De DG 52 hasta DG 58A entre AV 21A y AV 19; De DG 52 hasta DG 54 entre AV 15A y AV 13,Jorge Humberto Marin Posada,01/16/2019 04:00:00 AM,01/15/2019 08:00:00 PM,01/16/2019 04:00:00 AM,8,ABIERTA,01/08/2019 0:00,"Instalaciones afectadas: 7758 | Motivo: Lavado de tanque | Rango Aproximado: De AV 40 hasta AV 30 entre DG 49A y DG 61; De DG 50 hasta DG 52 entre AV 30 y AV 20; De DG 52 hasta DG 58A entre AV 21A y AV 19; De DG 52 hasta DG 54 entre AV 15A y AV 13 | Responsable: Uver Ney Chica Fernández -  380 75 76 - Unidad Operación Mantenimiento Provisión Aguas                  | Solicitud HIDRO: N.A | Circuito: Niquia | Observaciones: Lavado del tanque Niquía. Ejecutor: Contratista: Ingeniería Total Ltda. Auxiliar: John Jairo Osorio Jiménez, celular: 3014301876. (G.C=18).",ZONA INDUSTRIAL 3 (BELLO);JARDINES DE LA FE;ALTOS DE NIQUIA;GUASIMALITO;HERMOSA PROVINCIA;CIUDAD NIQUIA;LA NAVARRA;LA CIUDADELA DEL NORTE,Ingeniería Total Ltda.,IVR + Plan medios
Bajo,Villa Linda,Agua,Lavado de tanque,Unidad Operación Mantenimiento Provisión Aguas,568,Bello,De CL 81C hasta CL 84B entre CR 66B y CR 67C,Jorge Humberto Marin Posada,01/16/2019 03:00:00 PM,01/16/2019 10:00:00 AM,01/16/2019 03:00:00 PM,5,ABIERTA,01/08/2019 0:00,"Instalaciones afectadas: 568 | Motivo: Lavado de tanque | Rango Aproximado: De CL 81C hasta CL 84B entre CR 66B y CR 67C | Responsable: Uver Ney Chica Fernández -  380 75 76 - Unidad Operación Mantenimiento Provisión Aguas                  | Solicitud HIDRO: N.A | Circuito: Villa Linda | Observaciones: Lavado del tanque Villa Linda. Ejecutor: Contratista: Ingeniería Total Ltda. Auxiliar: John Jairo Osorio Jiménez, celular: 3014301876. (G.C=0).",AREA SIN DLLO COM 04 BELLO,Ingeniería Total Ltda.,IVR
Bajo,Palmitas,Agua,Lavado de tanque,Unidad Operación Mantenimiento Provisión Aguas,181,Medellín,De Rural 146012800000000000  hasta 146016025000000000,Jorge Humberto Marin Posada,01/17/2019 02:00:00 PM,01/17/2019 10:00:00 AM,01/17/2019 02:00:00 PM,4,ABIERTA,01/08/2019 0:00,"Instalaciones afectadas: 181 | Motivo: Lavado de tanque | Rango Aproximado: De Rural 146012800000000000  hasta 146016025000000000 | Responsable: Uver Ney Chica Fernández -  380 75 76 - Unidad Operación Mantenimiento Provisión Aguas                  | Solicitud HIDRO: N.A | Circuito: Palmitas | Observaciones: Lavado del tanque Plamitas. Ejecutor: Contratista: Ingeniería Total Ltda. Auxiliar: John Jairo Osorio Jiménez, celular: 3014301876. (G.C=3).",PALMITAS,Ingeniería Total Ltda.,IVR
Bajo,Volador Centro,Agua,Modernización,Unidad Operación Mantenimiento Provisión Aguas,931,Medellín,De CR67 hasta CR68 entre CL78A y CL 84,Claudia Marcela Toro,01/18/2019 06:00:00 PM,01/18/2019 10:00:00 AM,01/18/2019 06:00:00 PM,8,ABIERTA,12/28/2018 12:00:00 AM,"Instalaciones afectadas: 931 | Motivo: Empalme de red nueva a red existente  | Rango Aproximado: De CR67 hasta CR68 entre CL78A y CL 84 | Responsable: León Humberto Posada Ríos - 380 09 57 - Unidad Operación Mantenimiento Provisión Aguas                  | Solicitud HIDRO: N.A | Circuito: Volador Centro | Observaciones: Empalmes a redes con IPIDs 9096603; 2643941; 9091675;  2643249 y 2649978. Ejecutor: contratista: SANEAR S.A.  Auxiliar: JUAN CARLOS BETANCOURT, Celular: 3006111426. (G.C:0).",CEMENTERIO UNIVERSAL; CORDOBA; PROGRESO,SANEAR S.A.,IVR
Alto,Picacho,Agua,Modernización,"Dirección Proyectos Aguas, Saneamiento, Gas y Locativos 2",27719,Medellín,"Municipio de Medellin: De CL 89 hasta CL 94 entre CR 76 y CR 84; De CL 94 hasta CL 95 entre CR 75B y CR 83; De CL 95 hasta CL 98 entre CR 74B y CR 83; De CL 98 hasta CL 100B entre CR 74A y CR 83; De CL 101 hasta CL 104CC entre CR 76A y CR 82GG; De CL 104CC hasta CL 105A entre CR 75 y CR 82A; De CL 107 hasta CL 114 entre CR 76B y CR 82A.
Municipio de Bello: De Cl 20F hasta Cl 26A entre CR 62A y CR 72",Claudia Marcela Toro,01/22/2019 06:00:00 AM,01/21/2019 08:00:00 PM,01/22/2019 06:00:00 AM,10,ABIERTA,01/14/2019 12:00:00 AM,"Instalaciones afectadas: 27719 | Motivo: Empalme de red nueva a red existente  | Rango Aproximado: Municipio de Medellin: De CL 89 hasta CL 94 entre CR 76 y CR 84; De CL 94 hasta CL 95 entre CR 75B y CR 83; De CL 95 hasta CL 98 entre CR 74B y CR 83; De CL 98 hasta CL 100B entre CR 74A y CR 83; De CL 101 hasta CL 104CC entre CR 76A y CR 82GG; De CL 104CC hasta CL 105A entre CR 75 y CR 82A; De CL 107 hasta CL 114 entre CR 76B y CR 82A.
Municipio de Bello: De Cl 20F hasta Cl 26A entre CR 62A y CR 72 | Responsable: Saulo Augusto Montoya - 3803076 - Dirección Proyectos Aguas, Saneamiento, Gas y Locativos 2 | Solicitud HIDRO: N.A | Circuito: Picacho | Observaciones: Empalme de red de 400mm (16"") HD nueva a tuberia de 300mm (12 pulgadas) HD existente y en operación con IPID 4593232. Ejecutor: contratista: MS CONSTRUCCIONES SAS.  Auxiliar: Saulo Montoya, Celular: 3007856387. (G.C:8).",DOCE DE OCTUBRE NO. 1;SANTANDER;PEDREGAL;DOCE DE OCTUBRE NO. 2;SAN MARTIN DE PORRES;LA ESPERANZA;KENNEDY;PARIS;MARUCHENGA;PICACHO,MS CONSTRUCCIONES SAS.,IVR + Plan medios
Bajo,Paraíso,Agua,Modernización,Unidad Gestión Infraestructura Agua y Saneamient,24,Medellín,De CL36 hasta CL36 entre CR112 y CR 112,Yaneth Moreno Vélez,01/14/2020 02:00:00 PM,01/14/2020 08:00:00 AM,01/14/2020 02:00:00 PM,6,ABIERTA,01/07/2020 0:00,"Instalaciones afectadas: 24 | Motivo: Empalme de red nueva a red existente  | Rango Aproximado: De CL36 hasta CL36 entre CR112 y CR 112 | Responsable: Miller Alexander Rodriguez - 380 32 16 - Unidad Gestión Infraestructura Agua y Saneamiento | Solicitud HIDRO: N.A | Circuito: Paraíso | Observaciones: Empalme3 en red de 3"" con Ipid  9249612. Ejecutor: contratista: CONSORCIO REDES GM.  Auxiliar: Miller Alexander Rodriguez, Celular: 3008135709. G.C:(0).",Independencias,CONSORCIO REDES GM.,Volantes
Bajo,Volador Norte,Agua,Mantenimiento,Unidad Operación Mantenimiento Provisión Aguas,1950,Medellín,De CR65 hasta CR69B entre CL91E y CL 92F,Claudia Marcela Toro,01/23/2019 06:00:00 PM,01/23/2019 01:00:00 PM,01/23/2019 06:00:00 PM,5,ABIERTA,01/04/2019 0:00,"Instalaciones afectadas: 1950 | Motivo: Cambio de válvula | Rango Aproximado: De CR65 hasta CR69B entre CL91E y CL 92F | Responsable: León Humberto Posada Ríos - 380 09 57 - Unidad Operación Mantenimiento Provisión Aguas                  | Solicitud HIDRO: N.A | Circuito: Volador Norte | Observaciones: Cambio de hidrante y válvula auxiliar de 6"" con ipid 2646755; cambiar válvula de 3"" con ipid 2646678; cambiar válvula de 6"" con ipid 2646846; cambiar válvula de 4"" con ipid 2646615. Ejecutor: contratista: SANEAR S.A.  Auxiliar: ORLANDO AGUDELO, Celular: 300 4636521. (G.C:0).",FRANCISCO ANTONIO ZEA; ALFONSO LÓPEZ,SANEAR S.A.,IVR
Bajo,Pedregal Alto,Agua,Lavado de tanque,Unidad Operación Mantenimiento Provisión Aguas,346,Medellín,De CL 64 hasta CL 69 entre CR 121 y CR 129A,Jorge Humberto Marin Posada,01/28/2019 03:00:00 PM,01/28/2019 10:00:00 AM,01/28/2019 03:00:00 PM,5,ABIERTA,01/21/2019 12:00:00 AM,"Instalaciones afectadas: 346 | Motivo: Lavado de tanque | Rango Aproximado: De CL 64 hasta CL 69 entre CR 121 y CR 129A | Responsable: Carlos Mauricio Angel Montoya - 380 73 55 - Unidad Operación Mantenimiento Provisión Aguas                  | Solicitud HIDRO: N.A | Circuito: Pedregal Alto | Observaciones: Lavado del tanque Pedregal Alto. Ejecutor: Contratista: Ingeniería Total Ltda. Auxiliar: John Jairo Osorio Jiménez, celular: 3014301876. (G.C=0).",PEDREGAL ALTO,Ingeniería Total Ltda.,IVR
Alto,Porvenir,Agua,Mantenimiento,Unidad Operación Mantenimiento Provisión Aguas,8815,Medellín,De CR80 hasta CR88 entre CL76BB y CL 83,Claudia Marcela Toro,01/29/2019 07:00:00 PM,01/29/2019 01:00:00 PM,01/29/2019 07:00:00 PM,6,ABIERTA,01/05/2019 0:00,"Instalaciones afectadas: 8815 | Motivo: Cambio de válvula | Rango Aproximado: De CR80 hasta CR88 entre CL76BB y CL 83 | Responsable: León Humberto Posada Ríos - 380 09 57 - Unidad Operación Mantenimiento Provisión Aguas                  | Solicitud HIDRO: N.A | Circuito: Porvenir | Observaciones: CAMBIO TRES DE VÁLVULAS DE 6"" CON IPIDs 9147733;  9147732; 9147729; Y DOS VÁLVULAS DE 3"" CON  IPIDs 9542704 Y IPID 9542702. Ejecutor: contratista: SANEAR S.A.  Auxiliar: LEONARDO PINEDA, Celular: 3042161728 . (G.C:1).",EL DIAMANTE; AURES NO. 1; BELLO HORIZONTE; VILLA FLORA,SANEAR S.A.,IVR + Plan medios
Alto,Bello,Agua,Modernización,"Dirección Proyectos Aguas, Saneamiento, Gas y Locativos",37924,Bello,"De Cl 44 a CL 55 entre CR 43 a CR 59, De CL 56 a CL 68 entre CR 46 a CR  59, De CL 54 a CL 63 entre CR 58 a CR 65,  De AV 42 a AV 49 entre DG 50 a DG 61, De CL  42  a  CL 49 A  entre  CR 54 a CR   59 , De CR  53 a  CR  58  entre  CL 50  a CL 57 D",Claudia Marcela Toro,02/02/2019 19:00,02/02/2019 8:00,02/02/2019 19:00,11,ABIERTA,01/21/2019 12:00:00 AM,"Instalaciones afectadas: 37924 | Motivo: Empalme de red nueva a red existente  | Rango Aproximado: De Cl 44 a CL 55 entre CR 43 a CR 59, De CL 56 a CL 68 entre CR 46 a CR  59, De CL 54 a CL 63 entre CR 58 a CR 65,  De AV 42 a AV 49 entre DG 50 a DG 61, De CL  42  a  CL 49 A  entre  CR 54 a CR   59 , De CR  53 a  CR  58  entre  CL 50  a CL 57 D | Responsable: Diana Marcela González Arroyave - 3 80 67 29 - Dirección Proyectos Aguas, Saneamiento, Gas y Locativos 2 | Solicitud HIDRO: N.A | Circuito: Bello | Observaciones: Empalmes de la red instalada en 200 mm PEAD cuyos tramos son  0403502037, 0403502035, 0403502033, 0403502031, 0403502029, 0403502027, 0403502023, 0403502017 y 0403502015 ubicados en la Cra 54 entre Transversal 56A y Cl 57, Cl 57 entre Cra 54 y Cra 51, sale de servicio la red de 12"" AC 300 mm con IPID 2030902, 2030952, 2030958, 2030977 y la red de 10"" AC 250 mm con IPID 2032941 . Ejecutor: contratista: UT MEJIA ACEVEDO - S&E.  Auxiliar: FERNANDO ALONSO DUQUE LOPERA, Celular: 3006759423. (G.C:25).",ZONA INDUSTRIAL 3 (BELLO);PANAMERICANO;CIUDAD NIQUIA;LA CIUDADELA DEL NORTE;LAS GRANJAS (BELLO);ZONA INDUSTRIAL 2 (BELLO);CENTRO (BELLO);PRADO (BELLO);ZONA INDUSTRIAL 1 (BELLO);LA ESTACION;MANCHESTER;RINCON SANTO;SAN JOSE OBRERO;SANTANA;CONGOLO;ANDALUCIA (BELLO);EL ROSARIO (BELLO);PEREZ;SUAREZ;SALENTO;CENTRAL ;PUERTO BELLO;EL MIRADOR;PACHELLY;LOS ALPES (BELLO);EL DUCADO;LA ALDEA (BELLO);ALTOS DE NIQUIA;ESPIRITU SANTO;PLAYA RICA (BELLO);EL CARMELO;MARCO TULIO HENAO;URAPANES;NIQUIA BIFAMILIAR;EL TRAPICHE;LA SELVA;EL CAIRO;BUENOS AIRES (BELLO);EL PARAISO;LA MILAGROSA (BELLO);BRISENITO;EL PORVENIR;LA MESA;ALTAVISTA (BELLO);NAZARETH,UT MEJIA ACEVEDO - S&E.,IVR + Plan medios
Bajo,Castilla,Agua,Mantenimiento,Unidad Operación Mantenimiento Provisión Aguas,26,Medellín,De CR63D hasta CR64C entre CL103EE y CL 104,Claudia Marcela Toro,02/03/2019 17:00,02/03/2019 9:00,02/03/2019 17:00,8,ABIERTA,01/10/2019 0:00,"Instalaciones afectadas: 26 | Motivo: Reposición de red | Rango Aproximado: De CR63D hasta CR64C entre CL103EE y CL 104 | Responsable: Diana Patricia Betancur Urrea  - 380 09 79 - Unidad Operación Mantenimiento Provisión Aguas                  | Solicitud HIDRO: N.A | Circuito: Castilla | Observaciones: CAMBIO DE TUBERIA DE  ACERO EXPUESTA(60m) 300 mm CON IPID 2673430  POR 315mm PEAD. Ejecutor: contratista: RECURSO PROPIO EPM.  Auxiliar:DIANA BETANCUR, Celular: 3013708021. (G.C:2).",PLAZA DE FERIAS; BELALCAZAR,RECURSO PROPIO EPM.,Volantes
Alto,Los Mangos,Agua,Modernización,Unidad Operación y  Mantenimiento Gestión Aguas Residuale,5882,Medellín,De CR 17 hasta CR 18A entre CL 56 y CL 56EE; De CL 56EE hasta CL 56F entre CR 24B y CR 25BB; De CL 56F hasta CL 57A entre CR 18BA y CR 23; De CL 57A hasta CL 57E entre CR 18CC y CR 24AA; De CL 57E hasta CL 57F entre CR 24 y CR 18D,Claudia Marcela Toro,02/05/2019 16:00,02/05/2019 9:00,02/05/2019 16:00,7,ABIERTA,01/17/2019 12:00:00 AM,"Instalaciones afectadas: 5882 | Motivo: Empalme de red nueva a red existente  | Rango Aproximado: De CR 17 hasta CR 18A entre CL 56 y CL 56EE; De CL 56EE hasta CL 56F entre CR 24B y CR 25BB; De CL 56F hasta CL 57A entre CR 18BA y CR 23; De CL 57A hasta CL 57E entre CR 18CC y CR 24AA; De CL 57E hasta CL 57F entre CR 24 y CR 18D | Responsable: YENNY VANESSA VILLADA LONDONO-3148848783 - 3804714  - Unidad Operación y  Mantenimiento Gestión Aguas Residuales | Solicitud HIDRO: N.A | Circuito: Los Mangos | Observaciones: Empalmes de Red 90 mm PEAD a redes de 4"" HD y 3"" PVC, con IPID 2630292 Y 9851499. Ejecutor: contratista: REDYCO S.A.S.  Auxiliar:Juan Pablo Villegas, Celular: 3212394233. (G.C:2).",SAN ANTONIO (STA. ELENA);VILLATINA;TRECE DE NOVIEMBRE ;LA LIBERTAD;EL PINAL;LOS MANGOS,REDYCO S.A.S.,IVR + Plan medios
Bajo,Berlín,Agua,Modernización,"Dirección Proyectos Aguas, Saneamiento, Gas y Locativos",1686,Medellín,De CR46 hasta CR49 entre CL88 y CL 93,Claudia Marcela Toro,02/05/2019 20:00,02/05/2019 14:00,02/05/2019 20:00,6,ABIERTA,01/21/2019 12:00:00 AM,"Instalaciones afectadas: 1686 | Motivo: Empalme de red nueva a red existente  | Rango Aproximado: De CR46 hasta CR49 entre CL88 y CL 93 | Responsable: Marlon Mejía Martino - 3803557 - Dirección Proyectos Aguas, Saneamiento, Gas y Locativos 2 | Solicitud HIDRO: N.A | Circuito: Berlín | Observaciones: Seis empalmes 75x90mm sobre red existente con IPIDs 2653507; 4617331; 4589500; 4620353; 2659906 y 2659911. Ejecutor: contratista: CONSORCIO C&C.  Auxiliar: CARLOS DÁVILA, Celular: 3002051356. (G.C:0).",LA PINUELA; BERLIN,CONSORCIO C&C.,IVR
